P0,0,1
AB,1,16
P1,1,16
ABa,17,17
ABp,17,17
EMS,17,23
P2,17,26
ABal,34,18
ABar,34,18
ABpl,34,18
ABpr,34,18
MS,40,20
E,40,23
C,43,24
P3,43,33
ABala,52,22
ABalp,52,22
ABara,52,22
ABarp,52,22
ABpla,52,22
ABplp,52,22
ABpra,52,22
ABprp,52,22
MSa,60,27
MSp,60,27
Ea,63,44
Ep,63,46
Ca,67,30
Cp,67,30
D,76,40
P4,76,67
ABalaa,74,30
ABalap,74,30
ABalpa,74,30
ABalpp,74,30
ABaraa,74,30
ABarap,74,30
ABarpa,74,30
ABarpp,74,30
ABplaa,74,30
ABplap,74,30
ABplpa,74,30
ABplpp,74,30
ABpraa,74,30
ABprap,74,30
ABprpa,74,30
ABprpp,74,30
MSaa,87,26
MSap,87,28
MSpa,87,26
MSpp,87,28
Eal,107,55
Ear,107,55
Epl,109,57
Epr,109,57
Caa,97,38
Cap,97,38
Cpa,97,38
Cpp,97,38
Da,116,46
Dp,116,46
Z2,143,1
Z3,143,1
ABalaaa,104,29
ABalaap,104,29
ABalapa,104,29
ABalapp,104,29
ABalpaa,104,29
ABalpap,104,29
ABalppa,104,29
ABalppp,104,29
ABaraaa,104,29
ABaraap,104,29
ABarapa,104,29
ABarapp,104,29
ABarpaa,104,29
ABarpap,104,29
ABarppa,104,29
ABarppp,104,29
ABplaaa,104,29
ABplaap,104,29
ABplapa,104,29
ABplapp,104,29
ABplpaa,104,29
ABplpap,104,29
ABplppa,104,29
ABplppp,104,29
ABpraaa,104,29
ABpraap,104,29
ABprapa,104,29
ABprapp,104,29
ABprpaa,104,29
ABprpap,104,29
ABprppa,104,29
ABprppp,104,29
MSaaa,113,33
MSaap,113,33
MSapa,115,35
MSapp,115,35
MSpaa,113,33
MSpap,113,33
MSppa,115,35
MSppp,115,35
Eala,162,74
Ealp,162,74
Eara,162,74
Earp,162,74
Epla,166,69
Eplp,166,79
Epra,166,69
Eprp,166,79
Caaa,135,28
Caap,135,47
Capa,135,55
Capp,135,62
Cpaa,135,35
Cpap,135,45
Cppa,135,55
